VehicleID,CarrierID,VehicleType,CapacityKg,FuelType,VehicleAgeYears
82,8,Container Truck,3557.0,Petrol,5
83,8,Container Truck,884.9,Diesel,4
84,6,Two-Wheeler,1820.8,Petrol,12
85,5,Container Truck,990.7,Diesel,7
86,10,Container Truck,1694.8,CNG,10
87,4,Mini Truck,1658.4,Petrol,10
88,7,Mini Truck,1632.2,Diesel,10
89,3,Refrigerated Truck,1891.7,CNG,10
90,5,Container Truck,1388.1,Diesel,12
91,4,Two-Wheeler,1043.7,Electric,6
92,3,Mini Truck,1351.7,Petrol,4
93,9,Van,3422.5,Diesel,7
94,8,Van,939.5,Petrol,4
95,8,Van,1088.0,Diesel,0
96,1,Van,848.1,CNG,5
97,3,Van,415.5,Electric,7
98,3,Van,1236.8,Petrol,7
99,8,Two-Wheeler,1753.1,Diesel,5
100,9,Container Truck,773.0,Petrol,10
101,4,Container Truck,2459.8,Diesel,4
102,4,Van,1587.8,Diesel,9
103,6,Container Truck,2127.7,Electric,4
104,10,Mini Truck,1512.2,Diesel,14
105,4,Two-Wheeler,1177.8,Diesel,9
106,3,Mini Truck,1056.6,Diesel,8
107,6,Mini Truck,1479.9,Electric,6
108,10,Van,1548.3,Electric,11
109,8,Mini Truck,976.2,Diesel,6
110,6,Mini Truck,1162.4,Diesel,12
111,8,Mini Truck,3089.9,CNG,2
112,1,Mini Truck,1364.6,Diesel,12
113,8,Container Truck,1436.5,Electric,14
114,1,Refrigerated Truck,2715.6,Electric,3
115,4,Container Truck,1558.6,CNG,3
116,4,Container Truck,1277.0,Diesel,14
117,7,Van,2097.3,Petrol,6
118,3,Container Truck,1864.1,Electric,10
119,3,Container Truck,1455.0,Diesel,2
120,9,Container Truck,1519.0,CNG,6
121,5,Container Truck,1105.3,Diesel,10
122,8,Container Truck,681.8,Electric,13
123,6,Mini Truck,1730.2,Petrol,6
124,7,Two-Wheeler,535.1,Diesel,1
125,7,Two-Wheeler,698.8,Diesel,6
126,7,Two-Wheeler,1154.3,Diesel,9
127,10,Mini Truck,1094.0,Diesel,13
128,8,Refrigerated Truck,1824.0,Electric,12
129,4,Van,2061.9,Diesel,11
130,2,Mini Truck,3309.4,Electric,2
131,9,Two-Wheeler,487.2,Diesel,7
132,4,Refrigerated Truck,1628.0,Petrol,8
133,4,Mini Truck,1594.6,Electric,7
134,2,Two-Wheeler,1494.9,Petrol,13
135,6,Mini Truck,1729.8,CNG,14
136,6,Container Truck,1913.5,Electric,3
137,9,Mini Truck,2498.4,Petrol,14
138,8,Mini Truck,1517.8,CNG,12
139,8,Two-Wheeler,2875.5,Diesel,10
140,6,Van,1523.4,Diesel,5
141,9,Container Truck,1015.8,Diesel,11
142,10,Refrigerated Truck,1454.2,CNG,8
143,9,Two-Wheeler,810.6,Petrol,13
144,4,Two-Wheeler,833.6,Petrol,10
145,3,Two-Wheeler,1205.4,Electric,14
146,1,Two-Wheeler,1117.2,Diesel,6
147,10,Van,2463.8,Electric,1
148,8,Container Truck,1197.5,Diesel,7
149,10,Two-Wheeler,747.6,Diesel,14
150,8,Mini Truck,1318.4,Petrol,9
151,5,Mini Truck,1515.8,Diesel,10
152,2,Container Truck,1391.1,Petrol,9
153,1,Container Truck,727.1,CNG,8
154,8,Van,2597.1,CNG,0
155,4,Two-Wheeler,455.0,Diesel,6
156,4,Container Truck,1380.2,Diesel,1
157,9,Van,713.7,Diesel,5
158,5,Container Truck,2158.0,Diesel,10
159,10,Van,1631.6,Diesel,12
160,6,Mini Truck,1515.7,Diesel,3
161,9,Mini Truck,1150.3,CNG,9
162,2,Van,2484.0,Electric,3
163,4,Van,1148.8,CNG,3
164,2,Container Truck,3003.1,Diesel,14
165,1,Container Truck,820.5,Petrol,9
166,10,Mini Truck,1323.0,Diesel,2
167,6,Van,1887.4,Diesel,2
168,4,Container Truck,1688.3,Diesel,0
169,4,Container Truck,1269.9,Electric,7
170,3,Two-Wheeler,491.9,Petrol,1
171,2,Van,1428.4,Diesel,8
172,10,Mini Truck,1077.1,Petrol,6
173,2,Van,944.2,Electric,9
174,4,Mini Truck,1943.3,Diesel,3
175,2,Mini Truck,431.5,CNG,2
176,10,Van,1294.0,Diesel,1
177,3,Mini Truck,239.9,Diesel,1
178,4,Container Truck,1694.9,CNG,1
179,8,Two-Wheeler,1953.5,Diesel,3
180,6,Van,1418.1,Petrol,12
181,4,Two-Wheeler,1023.6,Diesel,9
182,6,Two-Wheeler,2465.8,Petrol,3
183,5,Container Truck,2549.0,Petrol,13
184,3,Van,1555.8,CNG,11
185,6,Container Truck,2740.2,CNG,11
186,4,Van,819.6,Petrol,13
187,10,Container Truck,1229.0,Diesel,11
188,5,Mini Truck,312.0,Diesel,14
189,8,Mini Truck,685.6,Petrol,4
190,3,Refrigerated Truck,651.7,Diesel,12
191,7,Mini Truck,1689.6,Diesel,1
192,6,Van,712.6,Electric,4
193,8,Two-Wheeler,414.6,Diesel,13
194,5,Van,904.9,Diesel,2
195,8,Container Truck,967.4,Electric,7
196,1,Mini Truck,610.7,Petrol,5
197,7,Two-Wheeler,1362.7,Petrol,1
198,8,Van,1491.6,Diesel,3
199,5,Container Truck,525.7,Diesel,8
200,1,Two-Wheeler,1821.3,Petrol,9
201,6,Mini Truck,788.4,Diesel,10
202,8,Container Truck,959.2,Petrol,1
203,5,Mini Truck,1638.1,Diesel,4
204,1,Mini Truck,963.8,Diesel,1
205,4,Container Truck,691.6,Diesel,0
206,10,Van,1321.8,Diesel,5
207,3,Container Truck,2170.7,Diesel,9
208,6,Van,2039.0,CNG,5
209,4,Refrigerated Truck,915.2,Petrol,0
210,8,Two-Wheeler,757.0,Diesel,3
211,5,Mini Truck,844.2,Petrol,6
212,4,Refrigerated Truck,2049.9,Diesel,5
213,6,Mini Truck,836.5,Diesel,12
214,6,Van,2672.5,CNG,8
215,5,Container Truck,1627.6,Petrol,14
216,3,Van,1244.2,Petrol,2
217,2,Mini Truck,907.1,Diesel,5
218,7,Van,1331.1,Diesel,1
219,4,Mini Truck,689.1,CNG,0
220,7,Mini Truck,535.7,Petrol,13
221,4,Van,1635.5,Petrol,7
222,9,Container Truck,1241.4,Electric,9
223,8,Van,1854.8,Diesel,4
224,5,Van,1466.9,CNG,0
225,4,Van,899.1,Petrol,13
226,8,Van,2037.8,Diesel,9
227,1,Refrigerated Truck,956.9,Diesel,10
228,1,Two-Wheeler,2324.5,Petrol,8
229,1,Mini Truck,940.9,Diesel,6
230,4,Van,587.5,Petrol,6
231,5,Van,2534.0,Petrol,11
232,3,Mini Truck,923.7,Diesel,3
233,2,Container Truck,958.9,Diesel,5
234,4,Container Truck,602.4,Petrol,4
235,5,Van,1188.7,Diesel,7
236,3,Container Truck,646.5,CNG,14
237,6,Van,2459.9,Diesel,13
238,4,Van,1036.4,Electric,8
239,10,Van,765.0,Diesel,3
240,10,Container Truck,1297.3,Diesel,14
241,7,Refrigerated Truck,3515.8,Petrol,4
242,6,Van,1327.8,Diesel,5
243,1,Mini Truck,1112.6,Diesel,13
244,7,Mini Truck,1281.4,Diesel,3
245,4,Container Truck,1901.9,Petrol,6
246,3,Two-Wheeler,1815.6,Petrol,13
247,8,Container Truck,1444.6,Diesel,4
248,1,Mini Truck,2079.8,Diesel,9
249,3,Mini Truck,1318.7,Diesel,0
250,8,Mini Truck,1161.5,Electric,14
251,10,Container Truck,1303.8,Diesel,6
252,6,Refrigerated Truck,944.1,Petrol,10
253,6,Container Truck,1922.2,Diesel,7
254,10,Refrigerated Truck,919.8,Petrol,6
255,1,Mini Truck,382.0,Electric,6
256,5,Container Truck,533.7,Diesel,0
257,3,Refrigerated Truck,1519.1,Petrol,4
258,5,Van,839.2,Diesel,5
259,10,Two-Wheeler,1837.1,Petrol,5
260,6,Container Truck,1247.4,Diesel,4
261,10,Van,1915.0,Diesel,9
262,6,Van,404.4,Diesel,12
263,9,Mini Truck,916.0,Diesel,13
264,2,Refrigerated Truck,751.3,Electric,14
265,4,Container Truck,3865.1,CNG,9
266,3,Mini Truck,999.2,Diesel,6
267,8,Refrigerated Truck,529.1,Diesel,9
268,6,Van,1504.7,Petrol,1
269,3,Two-Wheeler,715.6,Diesel,12
270,2,Two-Wheeler,2014.8,Diesel,8
271,4,Container Truck,2183.5,Petrol,2
272,2,Van,755.4,Diesel,6
273,7,Two-Wheeler,2848.1,Diesel,4
274,9,Mini Truck,852.7,Diesel,5
275,10,Container Truck,1433.9,Diesel,0
276,3,Two-Wheeler,2044.6,Petrol,0
277,5,Mini Truck,1518.5,Petrol,5
278,6,Two-Wheeler,1000.0,Electric,4
279,5,Container Truck,589.6,Diesel,14
280,5,Two-Wheeler,2793.3,Petrol,3
281,3,Van,1537.1,Electric,4
282,2,Van,3090.7,Petrol,13
283,5,Refrigerated Truck,1649.0,Electric,12
284,1,Mini Truck,2887.3,Electric,0
285,1,Van,810.5,CNG,1
286,6,Two-Wheeler,843.7,Electric,1
287,9,Two-Wheeler,1138.1,Petrol,6
288,6,Two-Wheeler,775.2,Diesel,8
289,1,Van,480.4,Electric,5
290,9,Van,892.1,CNG,0
291,7,Van,1637.2,Diesel,3
292,4,Van,630.8,Diesel,9
293,3,Van,671.4,Diesel,5
294,9,Mini Truck,923.2,CNG,1
295,5,Mini Truck,727.8,Diesel,9
296,2,Van,951.6,Diesel,9
297,3,Container Truck,1182.7,Diesel,7
298,3,Container Truck,655.6,Diesel,14
299,5,Mini Truck,934.8,Electric,12
300,4,Refrigerated Truck,1238.6,Diesel,0
301,6,Two-Wheeler,792.4,Diesel,13
302,4,Van,589.5,Diesel,0
303,7,Two-Wheeler,824.7,CNG,7
304,5,Two-Wheeler,1030.3,Petrol,13
305,10,Mini Truck,465.3,Diesel,14
306,9,Mini Truck,1649.8,Diesel,0
307,4,Mini Truck,1059.7,Electric,1
308,1,Mini Truck,827.2,CNG,3
309,6,Van,510.0,Petrol,4
310,4,Container Truck,1544.4,Diesel,4
311,10,Two-Wheeler,2194.4,Electric,6
312,5,Van,912.2,Petrol,4
313,3,Container Truck,2954.6,Diesel,8
314,4,Two-Wheeler,1208.6,Electric,12
315,9,Two-Wheeler,1231.7,CNG,8
316,2,Refrigerated Truck,1880.6,Petrol,4
317,10,Refrigerated Truck,1585.3,CNG,8
318,3,Two-Wheeler,628.3,Diesel,9
319,9,Van,893.9,Diesel,13
320,6,Two-Wheeler,2041.5,Diesel,14
321,6,Mini Truck,1601.5,Petrol,4
322,3,Van,2968.2,Diesel,13
323,8,Van,1478.5,Diesel,12
324,7,Mini Truck,1629.0,Electric,1
325,5,Mini Truck,823.2,Diesel,8
326,5,Mini Truck,2177.5,CNG,2
327,6,Container Truck,309.4,Diesel,7
328,5,Mini Truck,1342.3,Diesel,0
329,10,Container Truck,1653.6,Diesel,4
330,1,Refrigerated Truck,1429.1,Diesel,8
331,3,Van,1213.8,Diesel,4
332,9,Van,1144.0,Diesel,0
333,8,Mini Truck,1239.8,Petrol,5
334,4,Refrigerated Truck,684.4,Diesel,8
335,6,Mini Truck,1425.4,Diesel,11
336,1,Container Truck,828.3,Diesel,2
337,2,Van,912.6,Diesel,7
338,10,Two-Wheeler,641.2,Diesel,2
339,7,Two-Wheeler,4296.0,Diesel,2
340,1,Refrigerated Truck,1374.9,Petrol,1
341,8,Van,566.8,Petrol,11
342,5,Van,1302.7,CNG,13
343,6,Van,2165.4,CNG,9
344,9,Mini Truck,1417.4,Diesel,5
345,9,Container Truck,1197.3,Diesel,14
346,2,Two-Wheeler,791.5,Diesel,7
347,4,Two-Wheeler,1418.5,Petrol,7
348,3,Container Truck,1783.2,Diesel,9
349,10,Mini Truck,1792.9,Diesel,9
350,8,Mini Truck,1351.3,Electric,7
351,7,Container Truck,1349.1,Diesel,7
352,1,Mini Truck,2343.7,Diesel,4
353,9,Van,2221.5,Electric,10
354,6,Mini Truck,1110.4,Diesel,10
355,3,Mini Truck,2840.3,Diesel,6
356,5,Container Truck,572.7,Diesel,10
357,5,Refrigerated Truck,1382.1,Diesel,2
358,3,Container Truck,1453.2,Electric,6
359,10,Container Truck,766.3,Petrol,14
360,10,Van,503.7,Diesel,11
361,1,Refrigerated Truck,775.8,Diesel,10
362,10,Container Truck,1962.0,Diesel,12
363,5,Van,1990.8,Petrol,9
364,8,Container Truck,1734.8,Diesel,9
365,8,Van,836.3,Diesel,7
366,6,Container Truck,2003.2,Petrol,12
367,8,Two-Wheeler,868.0,CNG,10
368,7,Two-Wheeler,1425.1,Electric,7
369,9,Refrigerated Truck,1235.9,CNG,1
370,5,Two-Wheeler,1007.9,Diesel,12
371,8,Mini Truck,1692.0,CNG,4
372,10,Van,1861.3,Electric,5
373,10,Mini Truck,809.2,Diesel,1
374,2,Container Truck,1273.7,Diesel,3
375,5,Van,1812.9,Diesel,1
376,6,Van,223.5,Electric,1
377,7,Van,1521.5,Electric,0
378,7,Two-Wheeler,1831.9,CNG,4
379,9,Van,1556.2,Diesel,11
380,6,Two-Wheeler,1593.8,Electric,12
381,8,Two-Wheeler,1189.8,Diesel,3
382,9,Refrigerated Truck,1769.3,Diesel,6
383,2,Mini Truck,618.2,Petrol,12
384,7,Van,778.2,CNG,10
385,4,Van,1580.1,CNG,13
386,10,Two-Wheeler,1772.2,Diesel,6
387,6,Mini Truck,2172.4,Diesel,2
388,7,Container Truck,2630.5,Diesel,2
389,8,Container Truck,842.5,Diesel,10
390,3,Container Truck,677.5,CNG,0
391,6,Refrigerated Truck,1939.6,Diesel,6
392,8,Mini Truck,984.6,Diesel,5
393,8,Container Truck,1214.8,Diesel,13
394,3,Van,1842.3,Petrol,14
395,9,Container Truck,1380.7,CNG,7
396,2,Mini Truck,1741.6,Diesel,8
397,3,Van,799.4,Diesel,5
398,9,Van,1462.2,Electric,11
399,7,Two-Wheeler,1446.8,Petrol,4
400,6,Van,2153.4,Diesel,11
401,6,Two-Wheeler,2391.9,Diesel,13
402,10,Mini Truck,973.1,Electric,2
403,3,Refrigerated Truck,722.4,Petrol,3
404,3,Van,1793.0,Diesel,5
405,5,Van,475.8,Diesel,12
406,9,Container Truck,1855.8,Diesel,9
407,6,Mini Truck,1927.7,Diesel,2
408,8,Mini Truck,932.2,Diesel,5
409,9,Refrigerated Truck,257.4,Diesel,9
410,9,Refrigerated Truck,2029.6,Diesel,14
411,5,Mini Truck,2475.3,Diesel,6
412,5,Van,2391.6,Diesel,1
413,1,Van,2430.3,Diesel,1
414,1,Van,591.7,CNG,0
415,5,Container Truck,1293.3,Diesel,1
416,8,Two-Wheeler,1442.1,CNG,6
417,9,Van,1333.2,Electric,4
418,5,Van,1750.6,Electric,4
419,6,Van,697.0,Diesel,11
420,9,Van,467.8,Diesel,7
421,4,Mini Truck,381.5,Petrol,10
422,2,Two-Wheeler,2051.1,Diesel,8
423,10,Container Truck,587.8,Diesel,3
424,6,Refrigerated Truck,1328.8,Diesel,14
425,2,Two-Wheeler,909.0,Petrol,7
426,3,Van,931.5,CNG,12
427,4,Van,1129.1,Diesel,1
428,3,Mini Truck,953.5,Electric,12
429,5,Container Truck,468.5,CNG,10
430,9,Van,1129.5,Diesel,3
431,8,Mini Truck,808.9,Diesel,11
432,10,Mini Truck,786.8,Diesel,11
433,9,Two-Wheeler,2826.0,Electric,13
434,4,Container Truck,534.9,Petrol,3
435,1,Container Truck,1101.4,Petrol,13
436,2,Container Truck,1387.9,Petrol,11
437,8,Van,2827.6,Diesel,5
438,4,Container Truck,655.7,Electric,5
439,8,Refrigerated Truck,2329.6,Electric,3
440,5,Van,1125.2,Petrol,7
441,9,Mini Truck,1147.0,Diesel,13
442,6,Container Truck,1699.2,Diesel,12
443,10,Mini Truck,2511.7,Diesel,2
444,3,Refrigerated Truck,949.5,Diesel,1
445,8,Mini Truck,1441.0,Petrol,0
446,6,Mini Truck,1341.4,CNG,9
447,2,Container Truck,1308.4,Electric,4
448,3,Mini Truck,1846.5,Diesel,11
449,4,Van,840.2,Diesel,11
450,2,Container Truck,1020.4,Diesel,2
451,10,Two-Wheeler,476.4,Electric,10
452,3,Mini Truck,1632.1,CNG,11
453,6,Van,1277.3,Diesel,14
454,6,Van,2480.4,Petrol,10
455,6,Mini Truck,647.4,Petrol,5
456,7,Van,3004.8,Diesel,14
457,10,Two-Wheeler,1770.2,Diesel,4
458,10,Refrigerated Truck,261.2,Diesel,12
459,9,Two-Wheeler,1731.7,Diesel,5
460,5,Van,897.0,Petrol,14
461,8,Container Truck,1075.5,Diesel,11
462,2,Two-Wheeler,981.7,Petrol,8
463,9,Mini Truck,2258.3,Petrol,3
464,2,Van,431.8,Diesel,2
465,2,Refrigerated Truck,1158.9,Electric,14
466,9,Two-Wheeler,1210.2,Diesel,12
467,8,Two-Wheeler,963.2,Petrol,7
468,2,Mini Truck,740.4,Diesel,13
469,10,Van,297.7,Petrol,11
470,2,Mini Truck,1168.9,Diesel,5
471,1,Refrigerated Truck,1630.0,Diesel,12
472,10,Van,1278.1,Diesel,11
473,3,Mini Truck,740.9,Petrol,7
474,3,Refrigerated Truck,1216.8,Petrol,0
475,8,Container Truck,2495.3,Petrol,11
476,7,Van,860.5,Diesel,5
477,6,Two-Wheeler,1374.6,Petrol,5
478,10,Van,1474.2,Petrol,10
479,1,Van,558.7,Diesel,12
480,10,Mini Truck,1048.9,Diesel,1
481,3,Mini Truck,1055.5,Diesel,12
482,7,Mini Truck,1252.2,CNG,4
483,4,Container Truck,2220.5,Diesel,8
484,3,Container Truck,633.9,Diesel,13
485,4,Van,2289.6,Electric,3
486,6,Van,1691.9,CNG,3
487,9,Mini Truck,3046.7,Diesel,14
488,2,Van,357.0,Electric,5
489,7,Two-Wheeler,242.6,Diesel,14
490,9,Mini Truck,3875.1,CNG,5
491,8,Van,544.6,Diesel,9
492,10,Mini Truck,770.8,Diesel,7
493,1,Van,774.7,Electric,14
494,4,Van,657.9,Diesel,8
495,5,Mini Truck,1651.3,CNG,7
496,6,Container Truck,1096.8,Diesel,6
497,4,Two-Wheeler,837.9,Diesel,5
498,3,Mini Truck,2768.8,Electric,6
499,9,Van,319.8,Diesel,6
500,3,Van,2010.9,CNG,11
