ShipmentID,DateKey,CustomerID,ProductID,CarrierID,VehicleID,WarehouseID,EmployeeID,RouteID,ShipmentStatus,DeliveryMode,ShippingPriority,PaymentMethod,WeatherCondition,TrafficCondition,OrderQuantity,PackageWeightKg,PackageVolumeM3,DistanceKm,ShippingCost,OrderValue,HandlingTimeHours,LoadingTimeHours,WarehouseProcessingTimeHours,FuelConsumptionLiters,PromisedDeliveryDays,ActualDeliveryDays,DeliveryTimeHours,NumPreviousDelaysCustomer,Late_Delivery
81,20220923,472,429,9,141,13,275.0,7,Returned,Road,Standard,Prepaid,Fog,High,11,44.17,1.1013,1172.9,1919.74,6427.98,0.71,1.97,2.61,240.94,4,4,103.7,1,0
82,20230918,2593,140,5,158,19,756.0,93,Delivered,Road,Same-Day,Credit Terms,Clear,High,9,38.2,2.0836,1361.3,1906.66,4364.44,0.74,0.77,4.77,211.22,1,8,186.0,1,1
83,20241105,314,690,1,27,13,294.0,247,Delivered,Road,Standard,Prepaid,Clear,Medium,21,75.3,1.2451,1833.5,3029.65,6382.3,1.09,1.17,2.29,278.81,6,6,148.7,1,0
84,20231021,2631,125,3,293,21,310.0,45,Returned,Air,Standard,Prepaid,Extreme Heat,Medium,9,,0.9422,2016.2,3310.19,8700.69,2.66,1.19,3.51,341.01,7,7,176.5,2,0
85,20220907,1228,580,6,268,8,143.0,222,Delivered,Road,Standard,Prepaid,Rain,High,24,50.16,1.9666,681.8,855.47,1674.87,2.0,0.02,3.11,115.91,3,3,73.9,3,0
86,20231002,2029,362,1,114,30,406.0,223,Delivered,Road,Standard,COD,Rain,Low,11,61.95,0.2886,1912.5,3212.78,2979.08,1.1,0.27,2.58,285.33,6,6,156.6,1,0
87,20220119,2593,397,4,314,15,207.0,195,Delivered,Road,Standard,COD,Clear,Medium,16,111.05,1.2528,1755.3,3240.06,8050.53,1.6,1.12,2.19,343.19,6,5,107.6,1,0
88,20230621,2615,709,2,233,15,20.0,242,Delivered,Road,Standard,Credit Terms,Rain,Low,15,28.66,2.6024,425.0,,9081.18,2.15,0.73,1.14,67.61,3,2,44.1,1,0
89,20230915,487,659,6,140,16,515.0,151,In Transit,Rail,Express,Prepaid,Rain,Low,23,33.07,5.3792,1869.9,2298.01,3355.7,1.87,0.41,2.43,184.37,4,4,97.1,0,0
90,20220303,1217,138,9,463,29,14.0,231,Returned,Road,Standard,COD,Clear,Medium,5,25.84,0.4102,1961.6,2031.16,4125.06,0.58,0.29,1.76,327.66,6,6,143.2,0,0
91,20220811,240,691,10,147,9,529.0,263,In Transit,Air,Same-Day,COD,Rain,Medium,23,71.79,2.2758,1480.8,2812.31,5663.67,0.45,1.44,2.7,202.44,1,1,27.0,1,0
92,20241219,1930,257,1,165,15,180.0,205,Delivered,Road,Same-Day,Credit Terms,Clear,Low,12,31.01,0.3459,1662.8,2032.35,3592.32,1.42,0.71,2.06,260.39,1,1,22.4,0,0
93,20231120,1257,302,1,471,10,259.0,247,Delivered,Road,Standard,Credit Terms,Clear,High,11,52.12,1.5299,1963.5,2699.01,5729.7,0.64,1.77,4.83,221.62,6,12,298.7,3,1
94,20230518,2996,664,8,21,18,75.0,268,Delivered,Rail,Express,Prepaid,Clear,Medium,16,70.27,0.1051,1799.6,1828.01,4146.23,1.8,0.66,2.04,161.97,4,4,93.9,1,0
95,20220909,1897,120,1,112,17,190.0,146,Delivered,Air,Same-Day,Prepaid,Clear,Medium,17,283.49,1.7496,2169.8,3509.83,4652.69,1.6,0.98,3.34,378.08,1,1,24.1,1,0
96,20220517,1317,330,5,277,28,327.0,321,Delivered,Road,Same-Day,Prepaid,Fog,High,4,27.64,0.3224,965.6,1430.22,2776.38,1.45,1.07,1.89,136.07,1,1,24.7,3,0
97,20230415,465,93,7,482,2,310.0,114,Delivered,Rail,Standard,Prepaid,Fog,Medium,16,37.88,0.1656,2157.1,1984.87,3214.0,0.24,0.53,3.01,208.85,7,14,289.9,1,1
98,20230821,863,452,4,133,23,884.0,21,Delivered,Road,Standard,Prepaid,,Low,9,22.05,,621.3,1035.87,8210.96,2.22,0.77,3.8,89.96,3,2,47.6,0,0
99,20220716,2414,512,5,304,2,80.0,337,Delivered,Road,Standard,Credit Terms,Fog,Medium,8,8.16,2.1859,978.2,1620.38,2365.46,1.75,1.02,2.53,106.31,4,3,72.0,0,0
100,20240527,431,466,5,183,18,435.0,296,Delivered,Road,Standard,COD,Clear,High,23,136.07,1.3893,1819.9,2649.13,4025.23,1.56,0.82,3.25,328.19,6,10,225.2,0,1
101,20230415,2538,750,3,358,13,477.0,143,Delivered,Road,Standard,Prepaid,Clear,Low,3,11.14,,1835.0,2606.52,6565.13,0.72,1.98,2.15,313.65,6,6,149.3,1,0
102,20220303,1807,569,5,121,3,882.0,75,Delivered,Road,Express,Credit Terms,Storm,Medium,11,26.92,1.5827,1953.0,1854.94,3651.81,1.02,0.86,4.29,326.94,4,4,93.6,1,0
103,20220530,1568,31,8,461,2,741.0,74,In Transit,Road,Express,COD,Clear,Medium,2,13.69,0.2212,1261.0,1870.59,983.73,1.59,0.69,2.33,171.57,3,3,74.4,1,0
104,20240802,1431,166,9,382,24,555.0,201,Delivered,Air,Same-Day,Prepaid,Rain,Medium,13,43.6,2.1349,1724.1,2976.98,3026.35,1.24,1.2,3.7,231.23,1,1,25.0,0,0
105,20230106,92,398,6,424,23,567.0,337,Delivered,Road,Standard,Credit Terms,Storm,High,3,47.02,0.2223,1001.7,1407.1,3369.31,1.28,1.21,1.18,140.09,4,9,197.9,1,1
106,20230213,679,366,4,238,18,812.0,111,Delivered,Road,Standard,COD,Clear,High,12,43.68,0.7193,1254.0,1979.33,4445.89,0.6,1.07,4.03,187.56,5,4,99.2,0,0
107,20220807,1549,156,4,58,18,20.0,248,Delivered,Road,Standard,Credit Terms,Rain,High,14,44.41,1.5574,1606.1,2577.76,6326.88,1.09,0.35,2.66,223.15,6,6,144.8,0,0
108,20240604,1456,423,8,475,3,712.0,127,Delivered,Road,Standard,Credit Terms,Clear,Low,1,3.81,0.03,2055.4,3020.95,1367.39,3.58,1.0,4.14,335.41,7,7,156.1,0,0
109,20240613,643,426,5,77,1,246.0,196,Delivered,Road,Standard,Prepaid,Clear,Medium,14,79.09,0.8652,880.1,1639.36,5229.73,2.62,1.02,3.88,124.75,4,4,100.8,1,0
110,20220923,2409,364,2,130,25,566.0,224,Delivered,Road,Standard,Credit Terms,Clear,Medium,22,123.99,3.2535,542.4,1143.94,4688.12,1.52,0.61,0.03,91.09,3,3,70.2,2,0
111,20240310,1339,686,7,378,10,425.0,269,Delivered,Road,Express,COD,Clear,Low,18,49.6,1.2628,903.0,1452.32,9245.75,2.71,0.98,1.19,124.07,2,2,48.8,3,0
112,20230511,1164,305,1,165,24,417.0,257,Delivered,Sea,Standard,Prepaid,Storm,Medium,23,169.75,2.7144,1284.4,2677.85,5315.94,1.07,1.53,4.22,166.65,5,5,118.8,0,0
113,20220702,2280,630,10,176,3,820.0,78,Delivered,Rail,Standard,Credit Terms,Clear,Medium,11,59.59,0.7782,1513.0,1997.46,3968.96,2.77,1.53,4.68,146.96,5,4,101.8,3,0
114,20240522,447,559,4,91,20,793.0,39,Delivered,Rail,Standard,Prepaid,Extreme Heat,Low,23,15.76,1.2234,1985.2,1917.5,6056.79,1.04,1.14,3.69,225.06,6,5,114.2,1,0
115,20220401,164,778,2,272,28,154.0,196,Delivered,Road,Express,Credit Terms,Rain,Medium,1,0.85,0.1552,963.7,1714.93,6558.38,1.69,1.46,3.55,120.83,3,2,44.2,1,0
116,20240816,969,510,6,486,12,356.0,142,Delivered,Road,Standard,Prepaid,Rain,Medium,14,33.3,1.524,1213.1,2053.89,4632.72,1.4,1.66,2.78,219.8,5,13,295.8,3,1
117,20220129,1,388,8,364,10,67.0,96,Delivered,Rail,Standard,COD,Clear,High,12,16.97,1.2628,1466.0,1577.29,3954.2,2.98,1.78,3.74,286.43,5,5,125.5,2,0
118,20221221,1114,1,8,24,23,213.0,70,Delivered,Road,Express,COD,Fog,Medium,4,31.99,0.0504,915.5,1138.95,3826.81,1.18,1.53,2.28,126.6,2,1,22.4,1,0
119,20220906,401,531,3,397,12,477.0,303,Delivered,road,Standard,Prepaid,Clear,High,6,28.42,1.5962,1545.0,1930.63,787.83,0.94,1.6,3.2,220.15,5,4,89.7,2,0
120,20220915,1979,423,6,78,10,212.0,30,Delivered,Road,Standard,Prepaid,Extreme Heat,Medium,4,12.33,0.0934,476.6,509.11,6734.48,2.7,0.59,6.08,60.58,3,2,49.7,1,0
121,20230611,137,719,7,482,24,504.0,48,Delivered,Rail,Standard,COD,Clear,Medium,18,53.7,3.3771,2309.8,2295.87,3874.39,2.49,1.34,4.75,323.73,7,6,147.6,0,0
122,20240403,620,477,9,332,21,509.0,121,In Transit,Road,Express,Prepaid,Clear,High,11,74.48,0.2991,1763.8,3016.07,3926.82,1.5,0.63,4.83,394.11,4,8,202.5,5,1
123,20230315,782,559,5,356,7,884.0,77,Delivered,Road,Standard,Credit Terms,Rain,Medium,10,6.42,0.5343,910.0,1534.2,3192.24,1.2,0.84,1.99,125.22,4,3,73.7,0,0
124,20230720,1790,730,1,153,14,675.0,24,Delivered,Road,Express,COD,Clear,Low,7,13.66,1.6323,849.5,942.39,2692.17,1.61,1.22,3.3,98.02,2,2,46.0,0,0
125,20241130,1213,772,5,460,7,487.0,86,Delivered,Road,Standard,Prepaid,Clear,Medium,23,98.41,1.4024,281.3,706.29,5578.04,2.19,1.2,4.15,33.42,2,1,24.1,2,0
126,20230630,2306,177,7,456,15,122.0,128,Delivered,Road,Standard,Prepaid,Extreme Heat,Low,18,73.28,0.6308,872.0,1363.08,5298.85,1.1,1.21,4.48,150.33,4,3,75.3,1,0
127,20240518,2340,197,2,3,25,16.0,154,Delivered,Rail,Standard,Credit Terms,Rain,High,19,29.96,0.9315,1014.5,1543.31,6407.19,1.15,0.74,3.29,103.46,4,4,100.4,1,0
128,20230226,1156,628,10,458,20,719.0,185,Delivered,Road,Standard,Credit Terms,Rain,Low,9,35.45,0.5643,2099.5,2903.61,2855.45,0.11,0.71,1.56,317.56,7,7,171.0,0,0
129,20220327,91,108,2,337,16,603.0,47,Delivered,Rail,Express,Prepaid,Clear,Medium,4,17.75,0.4869,582.3,1034.35,5627.09,0.12,1.11,2.84,108.37,2,1,22.6,1,0
130,20221008,2881,656,2,464,10,809.0,343,Delivered,Air,Express,Prepaid,Clear,Low,9,35.65,0.6478,2199.3,3578.48,2361.48,2.19,1.64,0.76,306.35,4,4,96.5,4,0
131,20220624,1053,120,1,38,8,186.0,191,Delivered,Road,Standard,COD,Fog,Medium,23,369.06,2.1616,580.3,2458.02,13387.97,1.97,1.42,1.34,86.38,3,2,46.9,0,0
132,20240921,1614,292,3,89,19,488.0,141,Delivered,Road,Express,Prepaid,Clear,High,19,55.49,2.8805,1389.3,2193.99,1504.93,2.35,1.14,2.48,205.78,3,3,78.2,0,0
133,20220130,2789,682,9,490,5,733.0,257,Delivered,Road,Express,COD,Storm,Medium,12,105.86,0.5223,1319.9,1647.18,7122.82,3.18,1.99,5.85,257.62,3,8,189.4,0,1
134,20240620,1957,111,8,139,27,316.0,328,Delivered,Road,Standard,Prepaid,Fog,High,21,150.46,1.9715,1339.1,2518.07,5965.47,1.54,1.49,1.87,284.96,5,4,98.5,0,0
