ProductID,ProductName,Category,SubCategory,UnitWeightKg,UnitVolumeM3,FragileFlag
36,Product_00036,Industrial,Spare Parts,3.44,0.0159,False
37,Product_00037,Apparel,Footwear,0.78,0.1871,False
38,Product_00038,Grocery,Packaged Food,2.21,0.1026,False
39,Product_00039,Apparel,Womenswear,6.51,0.0815,False
40,Product_00040,Grocery,Packaged Food,7.17,0.0899,False
41,Product_00041,Electronics,Laptops,3.92,0.1058,False
42,Product_00042,Furniture,Office Furniture,6.25,0.0631,True
43,Product_00043,Apparel,Womenswear,1.66,0.0704,False
44,Product_00044,Grocery,Beverages,4.62,0.2765,False
45,Product_00045,Electronics,Home Appliances,9.0,0.1743,False
46,Product_00046,Furniture,Home Furniture,5.29,0.1331,False
47,Product_00047,Grocery,Packaged Food,9.93,0.0545,False
48,Product_00048,Grocery,Beverages,10.13,0.0099,False
49,Product_00049,Apparel,Womenswear,4.84,0.1221,False
50,Product_00050,Electronics,Laptops,0.03,0.0897,True
51,Product_00051,Apparel,Footwear,7.07,0.0691,False
52,Product_00052,Industrial,Machinery Components,1.07,0.0784,False
53,Product_00053,Electronics,Mobile Phones,0.14,0.0277,False
54,Product_00054,Furniture,Office Furniture,0.45,0.0364,False
55,Product_00055,Electronics,Laptops,7.41,0.1746,True
56,Product_00056,Furniture,Office Furniture,4.87,0.0067,False
57,Product_00057,Electronics,Home Appliances,4.0,0.1574,True
58,Product_00058,Grocery,Beverages,5.21,0.2222,False
59,Product_00059,Apparel,Womenswear,0.49,0.1202,False
60,Product_00060,Electronics,Laptops,2.82,0.1159,False
61,Product_00061,Apparel,Footwear,1.92,0.0361,False
62,Product_00062,Apparel,Womenswear,3.77,0.0414,False
63,Product_00063,Grocery,Packaged Food,3.87,0.0585,False
64,Product_00064,Industrial,Spare Parts,5.05,0.0221,False
65,Product_00065,Grocery,Packaged Food,5.62,0.0386,False
66,Product_00066,Industrial,Machinery Components,0.52,0.0895,True
67,Product_00067,Grocery,Beverages,2.85,0.0555,False
68,Product_00068,Electronics,Accessories,3.39,0.0957,True
69,Product_00069,Electronics,Mobile Phones,1.04,0.1741,False
70,Product_00070,Apparel,Menswear,0.93,0.0951,False
71,Product_00071,Apparel,Footwear,0.8,0.1169,False
72,Product_00072,Industrial,Machinery Components,6.22,0.0156,False
73,Product_00073,Furniture,Office Furniture,0.63,0.172,False
74,Product_00074,Grocery,Household Supplies,0.77,0.0151,False
75,Product_00075,Grocery,Beverages,3.65,0.0522,False
76,Product_00076,Apparel,Womenswear,4.61,0.0291,False
77,Product_00077,Grocery,Household Supplies,3.3,0.01,False
78,Product_00078,Electronics,Home Appliances,1.26,0.0913,True
79,Product_00079,Electronics,Laptops,0.95,0.1244,True
80,Product_00080,Apparel,Womenswear,3.57,0.2262,False
81,Product_00081,Electronics,Laptops,3.02,0.1017,False
82,Product_00082,Furniture,Office Furniture,2.43,0.0384,True
83,Product_00083,Electronics,Accessories,6.03,0.0544,True
84,Product_00084,Electronics,Home Appliances,2.86,0.0121,False
85,Product_00085,Industrial,Machinery Components,0.87,0.0595,True
86,Product_00086,Industrial,Machinery Components,2.44,0.0805,False
87,Product_00087,Grocery,Packaged Food,4.99,0.1206,False
88,Product_00088,Grocery,Packaged Food,2.72,0.1452,False
89,Product_00089,Pharma,Medical Equipment,4.93,0.1177,True
90,Product_00090,Electronics,Mobile Phones,5.66,0.0346,True
91,Product_00091,Apparel,Menswear,2.87,0.0257,False
92,Product_00092,Electronics,Mobile Phones,3.29,0.1378,False
93,Product_00093,Apparel,Menswear,2.58,0.0095,False
94,Product_00094,Industrial,Spare Parts,5.01,0.3023,False
95,Product_00095,Pharma,Medical Equipment,2.52,0.0419,True
96,Product_00096,Industrial,Spare Parts,4.66,0.1889,False
97,Product_00097,Furniture,Home Furniture,3.92,0.0491,False
98,Product_00098,Grocery,Beverages,0.45,0.1266,False
99,Product_00099,Pharma,Medical Equipment,4.85,0.0267,False
100,Product_00100,Furniture,Home Furniture,3.65,0.0844,True
101,Product_00101,Grocery,Household Supplies,7.84,0.0131,False
102,Product_00102,Apparel,Menswear,1.09,0.1058,False
103,Product_00103,Grocery,Household Supplies,3.97,0.0262,False
104,Product_00104,Apparel,Footwear,2.23,0.0306,False
105,Product_00105,Grocery,Packaged Food,0.52,0.0569,False
106,Product_00106,Electronics,Accessories,0.34,0.0673,False
107,Product_00107,Grocery,Household Supplies,8.94,0.1207,False
108,Product_00108,Electronics,Accessories,3.98,0.1119,True
109,Product_00109,Apparel,Menswear,2.79,0.0915,False
110,Product_00110,Grocery,Beverages,0.71,0.1571,False
111,Product_00111,Electronics,Home Appliances,8.58,0.1096,False
112,Product_00112,Industrial,Spare Parts,1.75,0.1156,False
113,Product_00113,Apparel,Womenswear,4.12,0.0303,False
114,Product_00114,Apparel,Menswear,3.54,0.1657,False
115,Product_00115,Electronics,Accessories,11.4,0.1515,False
116,Product_00116,Pharma,Medicines,3.23,0.095,False
117,Product_00117,Grocery,Household Supplies,2.11,0.1476,False
118,Product_00118,Apparel,Menswear,4.02,0.0793,False
119,Product_00119,Electronics,Accessories,4.36,0.234,False
120,Product_00120,Furniture,Office Furniture,16.8,0.0883,True
121,Product_00121,Industrial,Spare Parts,3.18,0.0772,True
122,Product_00122,Apparel,Womenswear,1.05,0.1102,False
123,Product_00123,Electronics,Laptops,2.43,0.2678,True
124,Product_00124,Electronics,Mobile Phones,4.02,0.0505,True
125,Product_00125,Electronics,Accessories,4.58,0.1048,False
126,Product_00126,Furniture,Home Furniture,0.63,0.0539,False
127,Product_00127,Industrial,Spare Parts,2.19,0.0771,False
128,Product_00128,Industrial,Spare Parts,10.95,0.0383,False
129,Product_00129,Pharma,Medical Equipment,1.45,0.1133,False
130,Product_00130,Electronics,Accessories,6.13,0.0827,False
131,Product_00131,Industrial,Spare Parts,2.5,0.1454,False
132,Product_00132,Apparel,Menswear,3.33,0.1748,False
133,Product_00133,Apparel,Menswear,0.73,0.1937,False
134,Product_00134,Furniture,Office Furniture,2.71,0.0557,True
135,Product_00135,Electronics,Mobile Phones,3.98,0.1104,True
136,Product_00136,Pharma,Medical Equipment,3.22,0.2024,True
137,Product_00137,Industrial,Spare Parts,2.85,0.038,False
138,Product_00138,Pharma,Medicines,5.03,0.0898,False
139,Product_00139,Pharma,Medicines,0.95,0.0404,True
140,Product_00140,Apparel,Footwear,4.12,0.2654,False
141,Product_00141,Electronics,Home Appliances,0.3,0.2008,True
142,Product_00142,Pharma,Medicines,7.36,0.1247,True
143,Product_00143,Grocery,Beverages,2.92,0.1233,False
144,Product_00144,Industrial,Machinery Components,5.84,0.044,False
145,Product_00145,Electronics,Laptops,0.08,0.2174,False
146,Product_00146,Apparel,Footwear,5.26,0.0647,True
147,Product_00147,Apparel,Footwear,1.69,0.048,False
148,Product_00148,Furniture,Office Furniture,3.35,0.1815,True
149,Product_00149,Pharma,Medical Equipment,5.32,0.0597,False
150,Product_00150,Industrial,Machinery Components,3.11,0.0498,False
151,Product_00151,Apparel,Footwear,4.87,0.1514,False
152,Product_00152,Grocery,Household Supplies,2.53,0.028,False
153,Product_00153,Electronics,Accessories,7.76,0.1258,False
154,Product_00154,Apparel,Womenswear,2.92,0.0906,False
155,Product_00155,Apparel,Footwear,2.97,0.1425,False
156,Product_00156,Grocery,Beverages,3.01,0.1159,False
157,Product_00157,Grocery,Packaged Food,3.28,0.3808,False
158,Product_00158,Apparel,Menswear,1.0,0.0972,False
159,Product_00159,Grocery,Packaged Food,1.4,0.0595,False
160,Product_00160,Pharma,Medicines,6.46,0.0831,True
161,Product_00161,Electronics,Accessories,5.84,0.115,True
162,Product_00162,Apparel,Menswear,5.57,0.2554,False
163,Product_00163,Furniture,Office Furniture,4.56,0.1318,True
164,Product_00164,Pharma,Medicines,2.15,0.0419,False
165,Product_00165,Pharma,Medicines,1.96,0.7411,False
166,Product_00166,Electronics,Mobile Phones,3.17,0.1698,True
167,Product_00167,Grocery,Household Supplies,7.16,0.0397,False
168,Product_00168,Industrial,Spare Parts,3.81,0.0305,True
169,Product_00169,Apparel,Menswear,1.34,0.0252,False
170,Product_00170,Apparel,Menswear,0.79,0.0797,False
171,Product_00171,Industrial,Spare Parts,5.97,0.0823,True
172,Product_00172,Electronics,Accessories,8.74,0.0471,False
173,Product_00173,Furniture,Office Furniture,0.6,0.0216,False
174,Product_00174,Industrial,Spare Parts,6.11,0.0312,False
175,Product_00175,Electronics,Accessories,4.48,0.1337,False
176,Product_00176,Furniture,Home Furniture,1.64,0.0656,False
177,Product_00177,Grocery,Packaged Food,3.85,0.0347,False
178,Product_00178,Industrial,Spare Parts,1.14,0.0903,False
179,Product_00179,Industrial,Machinery Components,2.74,0.1039,False
180,Product_00180,Industrial,Spare Parts,3.31,0.1125,False
181,Product_00181,Electronics,Home Appliances,7.71,0.0877,False
182,Product_00182,Pharma,Medical Equipment,2.63,0.0776,True
183,Product_00183,Industrial,Spare Parts,1.81,0.1921,False
184,Product_00184,Grocery,Packaged Food,4.23,0.0325,True
185,Product_00185,Grocery,Packaged Food,4.97,0.0696,False
186,Product_00186,Electronics,Home Appliances,1.75,0.0116,True
187,Product_00187,Industrial,Machinery Components,1.29,0.0624,True
188,Product_00188,Electronics,Home Appliances,1.4,0.0953,True
189,Product_00189,Apparel,Womenswear,7.73,0.1504,False
190,Product_00190,Industrial,Machinery Components,4.81,0.012,False
191,Product_00191,Industrial,Spare Parts,2.5,0.0931,False
192,Product_00192,Industrial,Spare Parts,6.86,0.2812,False
193,Product_00193,Grocery,Packaged Food,1.74,0.1188,False
194,Product_00194,Electronics,Home Appliances,3.08,0.0269,True
195,Product_00195,Grocery,Household Supplies,1.12,0.0625,False
196,Product_00196,Electronics,Accessories,6.65,0.1217,False
197,Product_00197,Industrial,Spare Parts,1.62,0.0491,True
198,Product_00198,Grocery,Packaged Food,1.65,0.1015,False
199,Product_00199,Apparel,Menswear,4.3,0.0971,True
200,Product_00200,Electronics,Laptops,0.26,0.0788,False
201,Product_00201,Apparel,Footwear,0.89,0.0241,False
202,Product_00202,Industrial,Machinery Components,5.45,0.0445,False
203,Product_00203,Furniture,Office Furniture,1.38,0.3004,True
204,Product_00204,Electronics,Home Appliances,13.88,0.0591,False
205,Product_00205,Electronics,Laptops,3.7,0.0652,False
206,Product_00206,Apparel,Womenswear,0.55,0.065,False
207,Product_00207,Electronics,Home Appliances,9.04,0.1478,True
208,Product_00208,Industrial,Spare Parts,3.69,0.0679,False
209,Product_00209,Furniture,Office Furniture,2.8,0.0802,True
210,Product_00210,Electronics,Home Appliances,3.68,0.0932,True
211,Product_00211,Pharma,Medicines,0.54,0.1596,False
212,Product_00212,Apparel,Menswear,3.16,0.0805,False
213,Product_00213,Electronics,Mobile Phones,1.47,0.0874,True
214,Product_00214,Grocery,Packaged Food,3.0,0.0511,False
215,Product_00215,Electronics,Laptops,2.2,0.1033,True
216,Product_00216,Grocery,Packaged Food,3.54,0.126,False
217,Product_00217,Pharma,Medical Equipment,2.49,0.1323,False
218,Product_00218,Industrial,Machinery Components,2.08,0.2699,False
219,Product_00219,Apparel,Womenswear,1.32,0.0417,False
220,Product_00220,Grocery,Packaged Food,0.57,0.0831,False
221,Product_00221,Electronics,Home Appliances,0.44,0.0683,True
222,Product_00222,Grocery,Packaged Food,0.92,0.2378,False
223,Product_00223,Apparel,Menswear,5.15,0.136,False
224,Product_00224,Grocery,Beverages,1.25,0.0173,False
225,Product_00225,Electronics,Mobile Phones,1.79,0.0475,False
226,Product_00226,Industrial,Machinery Components,1.81,0.0618,False
227,Product_00227,Industrial,Machinery Components,2.23,0.0202,False
228,Product_00228,Apparel,Womenswear,4.53,0.088,False
229,Product_00229,Pharma,Medical Equipment,2.47,0.0531,True
230,Product_00230,Electronics,Home Appliances,5.86,0.2778,False
231,Product_00231,Furniture,Home Furniture,0.93,0.1026,True
232,Product_00232,Apparel,Menswear,5.43,0.0598,False
233,Product_00233,Electronics,Laptops,8.32,0.0345,True
234,Product_00234,Furniture,Home Furniture,3.12,0.0776,False
235,Product_00235,Grocery,Packaged Food,1.17,0.2241,False
236,Product_00236,Grocery,Packaged Food,4.59,0.0689,False
237,Product_00237,Grocery,Household Supplies,3.17,0.0782,False
238,Product_00238,Electronics,Mobile Phones,4.02,0.1751,True
239,Product_00239,Electronics,Accessories,5.98,0.1005,False
240,Product_00240,Grocery,Packaged Food,2.32,0.1457,False
241,Product_00241,Grocery,Packaged Food,2.02,0.1081,False
242,Product_00242,Electronics,Home Appliances,15.69,0.1036,True
243,Product_00243,Apparel,Footwear,4.64,0.0163,False
244,Product_00244,Grocery,Household Supplies,6.72,0.0301,False
245,Product_00245,Furniture,Office Furniture,5.73,0.0926,True
246,Product_00246,Pharma,Medicines,6.78,0.0375,True
247,Product_00247,Apparel,Footwear,4.12,0.0777,False
248,Product_00248,Grocery,Packaged Food,6.22,0.0275,False
249,Product_00249,Grocery,Packaged Food,1.8,0.1761,False
250,Product_00250,Apparel,Menswear,0.56,0.0417,False
251,Product_00251,Electronics,Mobile Phones,1.41,0.0344,True
252,Product_00252,Electronics,Laptops,2.81,0.0217,True
253,Product_00253,Pharma,Medical Equipment,2.52,0.1312,False
254,Product_00254,Electronics,Mobile Phones,3.18,0.0776,True
255,Product_00255,Grocery,Household Supplies,1.71,0.1717,False
256,Product_00256,Grocery,Packaged Food,0.32,0.0514,False
257,Product_00257,Apparel,Footwear,2.26,0.0294,False
258,Product_00258,Pharma,Medicines,0.81,0.0749,True
259,Product_00259,Furniture,Office Furniture,3.08,0.1957,False
260,Product_00260,Electronics,Home Appliances,4.27,0.0158,False
261,Product_00261,Pharma,Medical Equipment,2.23,0.0988,False
262,Product_00262,Grocery,Beverages,1.09,0.1063,False
263,Product_00263,Apparel,Menswear,3.31,0.2179,False
264,Product_00264,Furniture,Home Furniture,16.26,0.039,False
265,Product_00265,Furniture,Office Furniture,4.63,0.0147,False
266,Product_00266,Apparel,Womenswear,4.89,0.0559,False
267,Product_00267,Industrial,Machinery Components,2.03,0.1442,False
268,Product_00268,Grocery,Packaged Food,1.51,0.0816,False
269,Product_00269,Grocery,Household Supplies,6.79,0.1147,False
270,Product_00270,Electronics,Accessories,0.18,0.0312,False
271,Product_00271,Apparel,Womenswear,1.66,0.0656,False
272,Product_00272,Apparel,Womenswear,9.62,0.0839,False
273,Product_00273,Grocery,Packaged Food,2.93,0.0186,False
274,Product_00274,Grocery,Packaged Food,0.64,0.0836,False
275,Product_00275,Pharma,Medical Equipment,4.36,0.0607,False
276,Product_00276,Apparel,Footwear,2.24,0.4319,False
277,Product_00277,Furniture,Office Furniture,0.48,0.079,False
278,Product_00278,Pharma,Medicines,3.77,0.226,False
279,Product_00279,Pharma,Medicines,3.35,0.1141,True
280,Product_00280,Pharma,Medical Equipment,3.2,0.0717,True
281,Product_00281,Industrial,Spare Parts,4.59,0.2036,False
282,Product_00282,Electronics,Accessories,1.02,0.0269,False
283,Product_00283,Furniture,Office Furniture,4.06,0.0548,True
284,Product_00284,Industrial,Spare Parts,3.54,0.1503,False
285,Product_00285,Grocery,Beverages,6.69,0.0068,False
286,Product_00286,Electronics,Accessories,1.64,0.077,True
287,Product_00287,Industrial,Spare Parts,7.52,0.0765,True
288,Product_00288,Electronics,Home Appliances,5.66,0.0964,True
289,Product_00289,Apparel,Footwear,2.84,0.0662,False
290,Product_00290,Electronics,Accessories,3.2,0.146,True
291,Product_00291,Grocery,Household Supplies,0.2,0.0408,False
292,Product_00292,Apparel,Footwear,3.13,0.1606,False
293,Product_00293,Grocery,Household Supplies,5.39,0.0303,False
294,Product_00294,Industrial,Spare Parts,2.49,0.1021,False
295,Product_00295,Grocery,Household Supplies,6.68,0.1872,False
296,Product_00296,Grocery,Household Supplies,4.42,0.0377,False
297,Product_00297,Industrial,Machinery Components,11.62,0.0464,False
298,Product_00298,Pharma,Medicines,1.75,0.1646,False
299,Product_00299,Electronics,Laptops,5.02,0.0914,True
300,Product_00300,Electronics,Accessories,0.84,0.0149,True
301,Product_00301,Grocery,Packaged Food,2.69,0.0941,False
302,Product_00302,Pharma,Medicines,4.61,0.1289,True
303,Product_00303,Grocery,Household Supplies,5.25,0.1693,False
304,Product_00304,Electronics,Laptops,2.34,0.1003,False
305,Product_00305,Furniture,Home Furniture,7.19,0.1168,False
306,Product_00306,Furniture,Home Furniture,8.28,0.2413,False
307,Product_00307,Grocery,Household Supplies,1.77,0.1534,False
308,Product_00308,Industrial,Spare Parts,2.75,0.0643,True
309,Product_00309,Pharma,Medical Equipment,2.53,0.0712,True
310,Product_00310,Furniture,Office Furniture,2.03,0.182,True
311,Product_00311,Furniture,Home Furniture,7.93,0.0988,False
312,Product_00312,Furniture,Home Furniture,7.87,0.0881,False
313,Product_00313,Grocery,Beverages,2.6,0.0626,False
314,Product_00314,Grocery,Packaged Food,5.0,0.1772,False
315,Product_00315,Furniture,Office Furniture,6.63,0.0397,False
316,Product_00316,Grocery,Household Supplies,3.81,0.055,False
317,Product_00317,Grocery,Beverages,2.44,0.1768,False
318,Product_00318,Electronics,Accessories,1.65,0.1753,False
319,Product_00319,Furniture,Office Furniture,5.35,0.3417,False
320,Product_00320,Grocery,Packaged Food,0.91,0.0772,False
321,Product_00321,Apparel,Womenswear,2.49,0.0634,False
322,Product_00322,Apparel,Menswear,2.15,0.0688,False
323,Product_00323,Electronics,Accessories,0.86,0.017,True
324,Product_00324,Industrial,Spare Parts,2.93,0.0084,False
325,Product_00325,Industrial,Machinery Components,2.71,0.1001,True
326,Product_00326,Grocery,Household Supplies,1.35,0.0595,False
327,Product_00327,Apparel,Footwear,7.72,0.0423,False
328,Product_00328,Furniture,Home Furniture,5.38,0.0871,False
329,Product_00329,Grocery,Household Supplies,3.24,0.1018,False
330,Product_00330,Industrial,Spare Parts,5.97,0.0731,False
331,Product_00331,Electronics,Mobile Phones,6.99,0.0746,True
332,Product_00332,Electronics,Mobile Phones,7.97,0.0589,False
333,Product_00333,Grocery,Household Supplies,1.74,0.1359,False
334,Product_00334,Electronics,Laptops,5.97,0.0518,False
335,Product_00335,Grocery,Household Supplies,2.72,0.0346,False
336,Product_00336,Pharma,Medicines,3.71,0.0569,False
337,Product_00337,Electronics,Accessories,1.82,0.0967,True
338,Product_00338,Apparel,Footwear,3.12,0.1418,False
339,Product_00339,Furniture,Office Furniture,6.03,0.2735,False
340,Product_00340,Pharma,Medical Equipment,9.37,0.0875,True
341,Product_00341,Grocery,Packaged Food,2.89,0.228,False
342,Product_00342,Electronics,Mobile Phones,1.4,0.0481,False
343,Product_00343,Grocery,Beverages,10.31,0.041,False
344,Product_00344,Grocery,Beverages,1.68,0.113,False
345,Product_00345,Pharma,Medicines,0.57,0.1255,True
346,Product_00346,Grocery,Beverages,1.95,0.0943,False
347,Product_00347,Apparel,Menswear,6.75,0.4383,False
348,Product_00348,Pharma,Medicines,1.58,0.0505,False
349,Product_00349,Grocery,Household Supplies,1.07,0.1992,False
350,Product_00350,Electronics,Mobile Phones,3.45,0.042,True
351,Product_00351,Grocery,Beverages,9.37,0.1327,False
352,Product_00352,Industrial,Machinery Components,4.48,0.0846,True
353,Product_00353,Furniture,Office Furniture,0.9,0.0992,False
354,Product_00354,Apparel,Menswear,12.77,0.1139,False
355,Product_00355,Furniture,Office Furniture,4.09,0.087,False
356,Product_00356,Apparel,Menswear,6.28,0.0744,False
357,Product_00357,Grocery,Beverages,0.7,0.013,False
358,Product_00358,Grocery,Packaged Food,11.35,0.1578,True
359,Product_00359,Electronics,Laptops,2.3,0.0254,True
360,Product_00360,Apparel,Footwear,0.64,0.0601,False
361,Product_00361,Industrial,Machinery Components,3.77,0.1047,False
362,Product_00362,Apparel,Womenswear,6.28,0.0303,False
363,Product_00363,Pharma,Medicines,4.98,0.0743,False
364,Product_00364,Furniture,Home Furniture,4.92,0.1454,False
365,Product_00365,Grocery,Packaged Food,4.67,0.059,False
366,Product_00366,Electronics,Mobile Phones,3.51,0.0753,False
367,Product_00367,Electronics,Home Appliances,0.7,0.0364,True
368,Product_00368,Electronics,Mobile Phones,2.68,0.0649,False
369,Product_00369,Grocery,Beverages,2.39,0.0262,False
370,Product_00370,Industrial,Spare Parts,7.99,0.0957,False
371,Product_00371,Industrial,Spare Parts,6.76,0.0203,True
372,Product_00372,Electronics,Home Appliances,2.13,0.0488,False
373,Product_00373,Apparel,Womenswear,5.59,0.0852,False
374,Product_00374,Electronics,Accessories,3.0,0.0704,True
375,Product_00375,Industrial,Spare Parts,0.57,0.109,False
376,Product_00376,Electronics,Laptops,0.21,0.0755,True
377,Product_00377,Electronics,Mobile Phones,5.12,0.013,True
378,Product_00378,Grocery,Household Supplies,1.21,0.0299,False
379,Product_00379,Grocery,Packaged Food,1.21,0.0821,True
380,Product_00380,Electronics,Home Appliances,1.72,0.1729,False
381,Product_00381,Furniture,Home Furniture,5.21,0.1521,False
382,Product_00382,Electronics,Accessories,6.82,0.4307,True
383,Product_00383,Electronics,Mobile Phones,6.72,0.0537,False
384,Product_00384,Electronics,Accessories,0.5,0.142,False
385,Product_00385,Apparel,Womenswear,1.65,0.135,False
386,Product_00386,Industrial,Machinery Components,1.42,0.2338,False
387,Product_00387,Grocery,Household Supplies,5.2,0.1924,True
388,Product_00388,Pharma,Medical Equipment,1.68,0.101,True
389,Product_00389,Apparel,Menswear,2.83,0.126,False
390,Product_00390,Furniture,Office Furniture,5.55,0.1093,False
391,Product_00391,Industrial,Machinery Components,3.29,0.0797,False
392,Product_00392,Apparel,Menswear,4.08,0.1196,False
393,Product_00393,Industrial,Machinery Components,2.75,0.0934,False
394,Product_00394,Grocery,Packaged Food,6.34,0.0905,False
395,Product_00395,Furniture,Office Furniture,6.79,0.2411,False
396,Product_00396,Apparel,Footwear,4.66,0.1025,False
397,Product_00397,Grocery,Beverages,6.81,0.0875,False
398,Product_00398,Grocery,Beverages,15.59,0.0721,True
399,Product_00399,Industrial,Machinery Components,5.48,0.0673,False
400,Product_00400,Industrial,Machinery Components,3.08,0.029,False
401,Product_00401,Apparel,Footwear,4.15,0.0798,False
402,Product_00402,Industrial,Spare Parts,7.29,0.179,False
403,Product_00403,Industrial,Machinery Components,2.28,0.0524,False
404,Product_00404,Grocery,Household Supplies,2.12,0.0073,False
405,Product_00405,Electronics,Laptops,4.1,0.1163,False
406,Product_00406,Electronics,Accessories,3.04,0.0961,True
407,Product_00407,Electronics,Mobile Phones,1.41,0.2383,True
408,Product_00408,Electronics,Home Appliances,3.64,0.0477,True
409,Product_00409,Industrial,Spare Parts,8.34,0.0258,False
410,Product_00410,Electronics,Laptops,4.55,0.0692,False
411,Product_00411,Furniture,Home Furniture,1.15,0.0607,False
412,Product_00412,Grocery,Beverages,5.09,0.0168,False
413,Product_00413,Grocery,Packaged Food,2.56,0.0881,False
414,Product_00414,Electronics,Accessories,12.3,0.0567,False
415,Product_00415,Grocery,Household Supplies,4.8,0.2092,False
416,Product_00416,Grocery,Beverages,1.94,0.0892,False
417,Product_00417,Grocery,Household Supplies,5.37,0.0426,True
418,Product_00418,Electronics,Mobile Phones,3.84,0.0809,False
419,Product_00419,Furniture,Home Furniture,7.8,0.0947,False
420,Product_00420,Electronics,Accessories,2.11,0.1245,True
421,Product_00421,Grocery,Household Supplies,4.8,0.084,False
422,Product_00422,Apparel,Womenswear,0.7,0.3022,False
423,Product_00423,Apparel,Womenswear,3.52,0.0281,False
424,Product_00424,Pharma,Medical Equipment,1.12,0.0559,False
425,Product_00425,Electronics,Accessories,3.74,0.0428,True
426,Product_00426,Industrial,Spare Parts,4.38,0.063,False
427,Product_00427,Industrial,Spare Parts,4.66,0.1033,False
428,Product_00428,Apparel,Womenswear,2.11,0.0981,False
429,Product_00429,Apparel,Footwear,3.6,0.1224,False
430,Product_00430,Electronics,Home Appliances,7.15,0.0888,True
431,Product_00431,Industrial,Spare Parts,10.06,0.0928,True
432,Product_00432,Grocery,Household Supplies,3.69,0.0902,False
433,Product_00433,Electronics,Accessories,7.28,0.0583,True
434,Product_00434,Grocery,Beverages,1.52,0.0548,False
435,Product_00435,Electronics,Mobile Phones,2.4,0.042,True
436,Product_00436,Grocery,Beverages,4.01,0.127,False
437,Product_00437,Grocery,Beverages,3.05,0.0093,False
438,Product_00438,Electronics,Laptops,2.81,0.0913,True
439,Product_00439,Pharma,Medical Equipment,6.76,0.1439,False
440,Product_00440,Apparel,Footwear,1.3,0.1707,False
441,Product_00441,Grocery,Household Supplies,1.43,0.0059,False
442,Product_00442,Grocery,Household Supplies,0.95,0.0598,False
443,Product_00443,Industrial,Machinery Components,4.1,0.0442,True
444,Product_00444,Grocery,Beverages,2.56,0.0558,False
445,Product_00445,Industrial,Machinery Components,6.31,0.1954,True
446,Product_00446,Apparel,Womenswear,3.84,0.0445,False
447,Product_00447,Industrial,Spare Parts,2.07,0.1436,False
448,Product_00448,Electronics,Home Appliances,1.8,0.0923,False
449,Product_00449,Furniture,Office Furniture,2.91,0.0538,False
450,Product_00450,Electronics,Mobile Phones,1.13,0.0494,False
451,Product_00451,Industrial,Machinery Components,6.87,0.0995,True
452,Product_00452,Industrial,Machinery Components,2.46,0.0776,False
453,Product_00453,Apparel,Menswear,0.78,0.0155,False
454,Product_00454,Grocery,Packaged Food,7.83,0.0358,False
455,Product_00455,Grocery,Household Supplies,2.94,0.1013,False
456,Product_00456,Apparel,Womenswear,5.07,0.0269,False
457,Product_00457,Furniture,Office Furniture,2.09,0.158,True
458,Product_00458,Furniture,Office Furniture,8.02,0.0198,False
459,Product_00459,Grocery,Packaged Food,1.6,0.0663,False
