CustomerID,CustomerName,Segment,LocationID,RegistrationDate,CustomerTier
47,Customer_00047,Retail,3,2018-03-13,Silver
48,Customer_00048,Retail,15,2018-07-06,Bronze
49,Customer_00049,Wholesale,5,2020-04-25,Bronze
50,Customer_00050,Retail,8,2018-12-28,Silver
51,Customer_00051,Retail,11,2021-11-17,Silver
52,Customer_00052,Retail,4,2019-09-18,Silver
53,Customer_00053,Enterprise,10,2021-10-23,Gold
54,Customer_00054,Wholesale,7,2019-01-11,Bronze
55,Customer_00055,Enterprise,22,2018-01-12,Bronze
56,Customer_00056,Enterprise,22,2019-03-16,Bronze
57,Customer_00057,Retail,1,2018-07-22,Bronze
58,Customer_00058,Wholesale,16,2021-01-15,Silver
59,Customer_00059,Retail,17,2017-12-03,Gold
60,Customer_00060,Retail,10,2019-09-28,Gold
61,Customer_00061,Wholesale,12,2019-03-27,Silver
62,Customer_00062,Retail,20,2018-11-03,Silver
63,Customer_00063,Wholesale,10,2019-05-18,Bronze
64,Customer_00064,Enterprise,2,2020-09-13,Silver
65,Customer_00065,Wholesale,10,2019-06-29,Bronze
66,Customer_00066,Wholesale,7,2019-04-27,Gold
67,Customer_00067,Wholesale,10,2018-06-25,Silver
68,Customer_00068,Retail,6,2020-01-10,Bronze
69,Customer_00069,retail,4,2019-12-11,Bronze
70,Customer_00070,Retail,25,2019-12-09,Bronze
71,Customer_00071,Retail,4,2021-07-14,Platinum
72,Customer_00072,Retail,18,2021-08-19,Bronze
73,Customer_00073,SME,18,2021-12-02,Bronze
74,Customer_00074,Retail,16,2019-04-08,Bronze
75,Customer_00075,Retail,23,2020-04-13,Gold
76,Customer_00076,Retail,1,2018-06-13,Silver
77,Customer_00077,Retail,8,2019-02-13,Silver
78,Customer_00078,Wholesale,5,2021-06-03,Silver
79,Customer_00079,Wholesale,15,2021-08-04,Bronze
80,Customer_00080,Enterprise,16,2020-07-01,Gold
81,Customer_00081,Wholesale,23,2018-03-22,Bronze
82,Customer_00082,Retail,10,2021-10-20,Bronze
83,Customer_00083,SME,6,2021-03-26,Silver
84,Customer_00084,Retail,24,2021-11-18,Bronze
85,Customer_00085,Retail,17,2020-04-21,Bronze
86,Customer_00086,Retail,20,2017-12-09,Gold
87,Customer_00087,enterprise,12,2019-03-13,Silver
88,Customer_00088,Retail,12,2019-12-23,Bronze
89,Customer_00089,retail,10,2021-05-30,Bronze
90,Customer_00090,Wholesale,19,2020-07-17,Gold
91,Customer_00091,Retail,6,2019-11-07,Bronze
92,Customer_00092,Wholesale,25,2020-11-15,Bronze
93,Customer_00093,Retail,5,2019-02-09,Silver
94,Customer_00094,Retail,12,2017-12-23,Silver
95,Customer_00095,retail,8,2021-02-27,Platinum
96,Customer_00096,Wholesale,17,2020-12-19,Silver
97,Customer_00097,Retail,18,2021-06-26,Bronze
98,Customer_00098,Retail,23,2019-01-09,Silver
99,Customer_00099,Retail,20,2020-02-09,Silver
100,Customer_00100,SME,7,2020-11-02,Bronze
101,Customer_00101,SME,6,2021-02-07,Silver
102,Customer_00102,Wholesale,23,2021-09-18,Bronze
103,Customer_00103,Retail,13,2020-01-18,Gold
104,Customer_00104,SME,3,2019-03-14,Gold
105,Customer_00105,Enterprise,21,2021-01-14,Silver
106,Customer_00106,Enterprise,17,2021-12-30,Platinum
107,Customer_00107,Retail,1,2020-01-23,Platinum
108,Customer_00108,Retail,20,2019-03-25,Bronze
109,Customer_00109,retail,16,2020-08-02,Silver
110,Customer_00110,SME,16,2020-12-22,Silver
111,Customer_00111,Retail,22,2021-05-15,Bronze
112,Customer_00112,Retail,13,2018-12-09,Silver
113,Customer_00113,Retail,12,2018-06-19,Bronze
114,Customer_00114,Wholesale,16,2018-11-04,Platinum
115,Customer_00115,Retail,5,2019-11-16,Silver
116,Customer_00116,SME,4,2019-01-11,Gold
117,Customer_00117,Enterprise,22,2020-05-16,Silver
118,Customer_00118,Enterprise,6,2021-11-26,Bronze
119,Customer_00119,Retail,13,2020-06-29,Gold
120,Customer_00120,Wholesale,7,2019-02-11,Bronze
121,Customer_00121,Wholesale,6,2019-05-06,Bronze
122,Customer_00122,Wholesale,15,2017-12-08,Silver
123,Customer_00123,Retail,21,2017-11-27,Silver
124,Customer_00124,Retail,12,2021-01-03,Bronze
125,Customer_00125,Retail,4,2021-12-18,Bronze
126,Customer_00126,Retail,7,2020-11-16,Bronze
127,Customer_00127,Retail,5,2018-05-28,Bronze
128,Customer_00128,Retail,23,2018-08-30,Bronze
129,Customer_00129,Retail,8,2021-08-06,Silver
130,Customer_00130,Wholesale,10,2021-05-06,Bronze
131,Customer_00131,Retail,2,2019-09-09,Bronze
132,Customer_00132,SME,12,2019-04-17,Silver
133,Customer_00133,wholesale,23,2017-12-20,Gold
134,Customer_00134,Retail,11,2018-11-26,Bronze
135,Customer_00135,Wholesale,17,2021-02-18,Bronze
136,Customer_00136,Retail,5,2021-11-07,Bronze
137,Customer_00137,SME,4,2019-05-27,Platinum
138,Customer_00138,Retail,19,2019-09-24,Bronze
139,Customer_00139,Enterprise,2,2018-03-21,Bronze
140,Customer_00140,Retail,12,2019-08-22,Silver
141,Customer_00141,Retail,8,2019-12-12,Bronze
142,Customer_00142,Retail,1,2020-10-03,Bronze
143,Customer_00143,SME,14,2021-08-25,Bronze
144,Customer_00144,Wholesale,25,2018-05-28,Silver
145,Customer_00145,Retail,2,2018-08-11,Silver
146,Customer_00146,Retail,21,2021-05-02,Silver
147,Customer_00147,Retail,14,2019-02-11,Gold
148,Customer_00148,Wholesale,19,2020-07-04,Bronze
149,Customer_00149,Retail,3,2020-03-17,Platinum
150,Customer_00150,Retail,22,2018-07-08,Gold
151,Customer_00151,SME,1,2018-07-18,Gold
152,Customer_00152,SME,23,2021-03-22,Gold
153,Customer_00153,Retail,17,2020-09-27,Silver
154,Customer_00154,Wholesale,9,2018-08-18,Bronze
155,Customer_00155,Retail,1,2018-03-28,Silver
156,Customer_00156,Wholesale,16,2021-09-05,Bronze
157,Customer_00157,Retail,3,2018-07-31,Silver
158,Customer_00158,Wholesale,16,2019-12-30,Bronze
159,Customer_00159,Enterprise,20,2019-07-31,Bronze
160,Customer_00160,Enterprise,7,2021-09-11,Platinum
161,Customer_00161,Retail,6,2019-03-18,Silver
162,Customer_00162,SME,6,2019-03-22,Silver
163,Customer_00163,Retail,6,2019-04-13,Bronze
164,Customer_00164,Retail,3,2018-10-04,Silver
165,Customer_00165,Wholesale,7,2018-02-12,Gold
166,Customer_00166,Retail,17,2018-07-07,Silver
167,Customer_00167,SME,8,2018-12-11,Silver
168,Customer_00168,SME,20,2017-12-22,Silver
169,Customer_00169,Retail,21,2019-03-27,Bronze
170,Customer_00170,SME,20,2019-03-30,Silver
171,Customer_00171,Retail,14,2019-10-11,Platinum
172,Customer_00172,Wholesale,8,2018-11-05,Silver
173,Customer_00173,Retail,24,2021-09-16,Silver
174,Customer_00174,SME,6,2019-12-05,Silver
175,Customer_00175,Retail,12,2020-04-04,Silver
176,Customer_00176,Retail,12,2018-04-03,Platinum
177,Customer_00177,Retail,19,2021-09-15,Gold
178,Customer_00178,SME,14,2019-05-12,Silver
179,Customer_00179,SME,20,2021-03-31,Silver
180,Customer_00180,Enterprise,23,2018-05-17,Silver
181,Customer_00181,SME,10,2018-07-04,Bronze
182,Customer_00182,SME,22,2021-01-13,Silver
183,Customer_00183,Wholesale,5,2018-06-04,Gold
184,Customer_00184,Retail,23,2019-12-18,Silver
185,Customer_00185,enterprise,5,2018-01-06,Bronze
186,Customer_00186,Wholesale,22,2019-01-03,Gold
187,Customer_00187,Retail,10,2021-11-11,Gold
188,Customer_00188,Retail,25,2021-03-03,Bronze
189,Customer_00189,Enterprise,4,2020-05-06,Silver
190,Customer_00190,Retail,12,2021-02-18,Silver
191,Customer_00191,SME,23,2021-06-17,Gold
192,Customer_00192,Retail,2,2017-12-26,Bronze
193,Customer_00193,Retail,7,2018-06-08,Bronze
194,Customer_00194,SME,3,2020-03-21,Silver
195,Customer_00195,Retail,9,2021-02-13,Bronze
196,Customer_00196,Retail,10,2021-04-04,Silver
197,Customer_00197,Wholesale,16,2018-03-30,Gold
198,Customer_00198,SME,7,2020-08-22,Bronze
199,Customer_00199,Retail,4,2021-12-14,Silver
200,Customer_00200,Retail,5,2020-05-15,Platinum
201,Customer_00201,Enterprise,24,2020-02-20,Silver
202,Customer_00202,SME,24,2019-06-12,Silver
203,Customer_00203,Wholesale,6,2020-08-11,Silver
204,Customer_00204,Retail,5,2018-03-19,Bronze
205,Customer_00205,Retail,2,2019-05-12,Bronze
206,Customer_00206,Retail,24,2017-12-14,Silver
207,Customer_00207,Retail,18,2020-06-30,Silver
208,Customer_00208,Wholesale,20,2019-04-30,Bronze
209,Customer_00209,Retail,8,2020-07-02,Bronze
210,Customer_00210,Wholesale,17,2019-02-17,Gold
211,Customer_00211,Wholesale,2,2018-12-10,Bronze
212,Customer_00212,Wholesale,17,2020-09-06,Gold
213,Customer_00213,Retail,15,2018-02-25,Silver
214,Customer_00214,SME,9,2018-06-26,Silver
215,Customer_00215,Enterprise,18,2018-05-01,Bronze
216,Customer_00216,Enterprise,17,2021-02-09,Bronze
217,Customer_00217,Retail,11,2019-01-21,Silver
218,Customer_00218,Retail,5,2021-07-26,Silver
219,Customer_00219,sme,1,2021-07-27,Bronze
220,Customer_00220,Retail,24,2018-01-03,Silver
221,Customer_00221,Retail,8,2021-05-17,Silver
222,Customer_00222,Retail,8,2018-06-15,Bronze
223,Customer_00223,Wholesale,18,2020-03-26,Silver
224,Customer_00224,SME,7,2020-10-03,Bronze
225,Customer_00225,Retail,10,2021-09-13,Silver
226,Customer_00226,SME,18,2019-03-26,Bronze
227,Customer_00227,Retail,15,2019-01-16,Silver
228,Customer_00228,Wholesale,17,2020-02-01,Bronze
229,Customer_00229,Wholesale,1,2018-09-05,Silver
230,Customer_00230,Retail,12,2020-09-04,Silver
231,Customer_00231,Retail,12,2019-09-27,Platinum
232,Customer_00232,Retail,16,2020-10-28,Silver
233,Customer_00233,SME,4,2019-08-12,Gold
234,Customer_00234,Wholesale,4,2021-06-11,Bronze
235,Customer_00235,SME,20,2020-01-18,Silver
236,Customer_00236,sme,17,2019-10-01,Bronze
237,Customer_00237,Retail,21,2019-09-20,Silver
238,Customer_00238,Enterprise,7,2020-03-03,Silver
239,Customer_00239,Retail,25,2019-05-12,Gold
240,Customer_00240,Retail,7,2019-11-25,Silver
241,Customer_00241,SME,17,2020-11-03,Silver
242,Customer_00242,Enterprise,5,2021-02-12,Bronze
243,Customer_00243,Retail,23,2019-05-06,Bronze
244,Customer_00244,Wholesale,9,2018-02-24,Gold
245,Customer_00245,Wholesale,21,2018-11-29,Bronze
246,Customer_00246,SME,9,2019-05-20,Bronze
247,Customer_00247,Wholesale,20,2018-03-21,Platinum
248,Customer_00248,Retail,12,2018-04-23,Platinum
249,Customer_00249,Retail,2,2019-12-04,Silver
250,Customer_00250,Retail,5,2021-07-22,Silver
251,Customer_00251,Wholesale,18,2019-05-26,Gold
252,Customer_00252,SME,5,2019-06-12,Bronze
253,Customer_00253,Retail,7,2020-11-11,Silver
254,Customer_00254,Retail,14,2018-07-07,Silver
255,Customer_00255,Retail,7,2018-06-07,Platinum
256,Customer_00256,Enterprise,4,2020-08-23,Platinum
257,Customer_00257,SME,16,2020-01-17,Silver
258,Customer_00258,Retail,18,2021-03-15,Bronze
259,Customer_00259,Retail,19,2021-04-09,Silver
260,Customer_00260,Wholesale,24,2020-11-30,Bronze
261,Customer_00261,Retail,4,2020-07-02,Gold
262,Customer_00262,SME,11,2020-11-18,Bronze
263,Customer_00263,Retail,6,2021-05-19,Bronze
264,Customer_00264,Retail,23,2020-03-02,Gold
265,Customer_00265,SME,14,2019-06-11,Silver
266,Customer_00266,Retail,3,2020-08-31,Gold
267,Customer_00267,retail,18,2019-10-24,Bronze
268,Customer_00268,Retail,2,2020-11-21,Gold
269,Customer_00269,Retail,7,2019-02-11,Bronze
270,Customer_00270,Retail,19,2019-05-05,Bronze
271,Customer_00271,Retail,13,2018-01-22,Silver
272,Customer_00272,Retail,20,2021-10-14,Bronze
273,Customer_00273,Retail,15,2018-07-02,Silver
274,Customer_00274,Wholesale,22,2020-08-09,Bronze
275,Customer_00275,Wholesale,15,2021-09-24,Bronze
276,Customer_00276,retail,2,2019-03-04,Gold
277,Customer_00277,retail,2,2021-04-19,Bronze
278,Customer_00278,Wholesale,20,2021-04-13,Silver
279,Customer_00279,SME,1,2017-12-24,Gold
280,Customer_00280,SME,10,2021-02-04,Bronze
281,Customer_00281,Retail,1,2019-10-04,Gold
282,Customer_00282,Retail,8,2021-03-07,Bronze
283,Customer_00283,Retail,15,2021-06-30,Silver
284,Customer_00284,Retail,5,2021-12-31,Bronze
285,Customer_00285,Wholesale,12,2021-12-08,Gold
286,Customer_00286,Retail,25,2020-01-22,Silver
287,Customer_00287,Retail,2,2020-03-21,Silver
288,Customer_00288,Retail,2,2021-11-04,Platinum
289,Customer_00289,Wholesale,7,2020-07-26,Bronze
290,Customer_00290,Retail,21,2020-11-18,Gold
291,Customer_00291,SME,11,2019-08-29,Gold
292,Customer_00292,Retail,16,2017-12-01,Platinum
293,Customer_00293,SME,1,2019-03-01,Platinum
294,Customer_00294,Retail,19,2018-03-26,Platinum
295,Customer_00295,SME,2,2021-03-19,Bronze
296,Customer_00296,SME,18,2021-02-13,Gold
297,Customer_00297,SME,4,2018-12-02,Gold
298,Customer_00298,SME,22,2020-09-23,Silver
299,Customer_00299,Enterprise,8,2018-07-08,Bronze
300,Customer_00300,Wholesale,5,2020-02-06,Platinum
301,Customer_00301,Enterprise,9,2021-03-06,Bronze
302,Customer_00302,Retail,1,2018-07-15,Silver
303,Customer_00303,Wholesale,5,2019-09-29,Silver
304,Customer_00304,Wholesale,15,2018-09-16,Bronze
305,Customer_00305,SME,8,2020-02-23,Gold
306,Customer_00306,Retail,9,2021-06-26,Bronze
307,Customer_00307,Retail,21,2019-03-17,Silver
308,Customer_00308,Wholesale,4,2021-06-29,Gold
309,Customer_00309,Retail,10,2019-04-13,Bronze
310,Customer_00310,Retail,5,2020-04-16,Gold
311,Customer_00311,Retail,13,2018-10-02,Bronze
312,Customer_00312,Retail,9,2018-06-06,Gold
313,Customer_00313,Retail,2,2020-04-30,Platinum
314,Customer_00314,Retail,2,2018-05-19,Bronze
315,Customer_00315,Retail,22,2021-07-19,Silver
316,Customer_00316,Retail,2,2021-07-24,Silver
317,Customer_00317,Retail,20,2017-12-03,Silver
318,Customer_00318,Wholesale,23,2019-08-24,Gold
319,Customer_00319,Retail,12,2020-02-25,Silver
320,Customer_00320,SME,8,2021-05-13,Silver
321,Customer_00321,SME,20,2020-10-25,Bronze
322,Customer_00322,Retail,25,2019-03-09,Silver
323,Customer_00323,Retail,4,2018-08-18,Gold
324,Customer_00324,Wholesale,25,2018-03-29,Bronze
325,Customer_00325,SME,24,2020-04-30,Silver
326,Customer_00326,Wholesale,4,2020-02-19,Bronze
327,Customer_00327,SME,2,2021-05-02,Gold
328,Customer_00328,Wholesale,18,2021-08-30,Silver
329,Customer_00329,Wholesale,2,2020-03-16,Silver
330,Customer_00330,Retail,16,2019-08-17,Bronze
331,Customer_00331,Enterprise,2,2021-07-29,Silver
332,Customer_00332,retail,18,2020-04-29,Platinum
333,Customer_00333,Wholesale,6,2019-05-15,Silver
334,Customer_00334,SME,3,2018-09-03,Silver
335,Customer_00335,Retail,2,2018-02-24,Gold
336,Customer_00336,Wholesale,5,2020-08-09,Silver
337,Customer_00337,Retail,14,2020-05-24,Silver
338,Customer_00338,Enterprise,2,2018-05-30,Bronze
339,Customer_00339,Retail,21,2019-02-27,Bronze
340,Customer_00340,SME,16,2020-11-17,Gold
341,Customer_00341,Retail,8,2019-03-11,Gold
342,Customer_00342,SME,25,2021-05-10,Platinum
343,Customer_00343,SME,17,2020-02-28,Gold
344,Customer_00344,Wholesale,17,2020-09-29,Silver
345,Customer_00345,Enterprise,5,2017-12-05,Bronze
346,Customer_00346,enterprise,18,2021-11-10,Silver
347,Customer_00347,SME,14,2018-06-26,Platinum
348,Customer_00348,Retail,25,2020-11-06,Gold
349,Customer_00349,Wholesale,12,2021-11-08,Silver
350,Customer_00350,Retail,17,2019-04-17,Silver
351,Customer_00351,Wholesale,9,2019-03-21,Gold
352,Customer_00352,Retail,2,2021-06-02,Platinum
353,Customer_00353,Wholesale,4,2021-11-05,Gold
354,Customer_00354,Wholesale,22,2021-07-18,Silver
355,Customer_00355,Retail,19,2020-04-28,Bronze
356,Customer_00356,Wholesale,10,2021-06-17,Silver
357,Customer_00357,Enterprise,18,2019-02-12,Bronze
358,Customer_00358,Enterprise,1,2021-09-07,Platinum
359,Customer_00359,Retail,1,2018-10-06,Silver
360,Customer_00360,Wholesale,13,2018-05-31,Silver
361,Customer_00361,SME,16,2019-01-22,Bronze
362,Customer_00362,Retail,24,2018-02-15,Silver
363,Customer_00363,Retail,19,2018-02-23,Silver
364,Customer_00364,Retail,7,2021-10-24,Bronze
365,Customer_00365,Wholesale,21,2020-08-07,Gold
366,Customer_00366,Retail,13,2018-11-18,Silver
367,Customer_00367,Enterprise,21,2020-08-10,Silver
368,Customer_00368,Wholesale,5,2018-12-23,Bronze
369,Customer_00369,Retail,1,2018-10-28,Silver
370,Customer_00370,SME,2,2017-11-28,Gold
371,Customer_00371,Enterprise,25,2020-08-25,Gold
372,Customer_00372,Retail,3,2020-07-29,Bronze
373,Customer_00373,Retail,24,2021-11-26,Platinum
374,Customer_00374,Retail,19,2020-10-30,Gold
375,Customer_00375,Retail,4,2020-11-07,Bronze
376,Customer_00376,Retail,22,2020-02-22,Bronze
377,Customer_00377,SME,4,2020-04-10,Bronze
378,Customer_00378,Retail,4,2018-06-27,Gold
379,Customer_00379,Retail,15,2018-10-29,Bronze
380,Customer_00380,Enterprise,8,2019-01-05,Silver
381,Customer_00381,Wholesale,8,2021-12-25,Gold
382,Customer_00382,SME,5,2020-01-25,Gold
383,Customer_00383,Enterprise,16,2019-01-03,Silver
384,Customer_00384,Retail,1,2020-12-31,Gold
385,Customer_00385,Retail,7,2020-04-04,Bronze
386,Customer_00386,SME,14,2019-01-07,Gold
387,Customer_00387,Enterprise,13,2018-09-28,Bronze
388,Customer_00388,SME,18,2018-06-30,Bronze
389,Customer_00389,Retail,6,2020-03-28,Platinum
390,Customer_00390,SME,17,2020-05-12,Bronze
391,Customer_00391,Wholesale,19,2020-06-06,Bronze
392,Customer_00392,Retail,10,2019-04-05,Silver
393,Customer_00393,Wholesale,7,2020-04-12,Bronze
394,Customer_00394,Wholesale,14,2020-05-11,Bronze
395,Customer_00395,Retail,15,2021-04-24,Silver
396,Customer_00396,Retail,3,2020-01-15,Gold
397,Customer_00397,SME,15,2021-01-11,Gold
398,Customer_00398,Retail,4,2019-11-06,Bronze
399,Customer_00399,Retail,15,2018-05-10,Silver
400,Customer_00400,Retail,24,2018-10-26,Gold
401,Customer_00401,Retail,14,2020-01-15,Bronze
402,Customer_00402,SME,20,2017-12-27,Bronze
403,Customer_00403,Enterprise,8,2017-12-23,Bronze
404,Customer_00404,Retail,24,2020-03-06,Silver
405,Customer_00405,SME,21,2018-11-13,Bronze
406,Customer_00406,SME,23,2020-08-06,Gold
407,Customer_00407,Retail,19,2018-05-25,Platinum
408,Customer_00408,SME,17,2020-06-20,Bronze
409,Customer_00409,Retail,14,2020-12-10,Silver
410,Customer_00410,SME,24,2021-06-15,Bronze
411,Customer_00411,Wholesale,22,2018-07-18,Bronze
412,Customer_00412,Wholesale,11,2020-10-13,Gold
413,Customer_00413,Retail,3,2018-08-31,Silver
414,Customer_00414,SME,1,2021-08-25,Platinum
415,Customer_00415,Retail,6,2019-12-12,Silver
416,Customer_00416,Retail,2,2020-03-31,Bronze
417,Customer_00417,Retail,6,2020-03-14,Silver
418,Customer_00418,enterprise,3,2021-04-25,Bronze
419,Customer_00419,Retail,25,2021-09-13,Gold
420,Customer_00420,SME,3,2020-07-31,Silver
421,Customer_00421,Wholesale,16,2020-01-27,Bronze
422,Customer_00422,Retail,9,2018-09-29,Silver
423,Customer_00423,Retail,5,2020-02-08,Silver
424,Customer_00424,Retail,18,2020-12-29,Gold
425,Customer_00425,Wholesale,25,2020-12-04,Bronze
426,Customer_00426,SME,20,2019-06-29,Bronze
427,Customer_00427,Retail,25,2020-03-19,Bronze
428,Customer_00428,SME,15,2018-04-21,Silver
429,Customer_00429,Retail,17,2020-03-13,Silver
430,Customer_00430,SME,4,2019-09-04,Bronze
431,Customer_00431,SME,22,2021-09-28,Silver
432,Customer_00432,Enterprise,19,2021-03-17,Silver
433,Customer_00433,Wholesale,7,2018-07-06,Bronze
434,Customer_00434,SME,9,2020-08-02,Platinum
435,Customer_00435,Retail,16,2020-04-10,Silver
436,Customer_00436,Retail,1,2019-07-31,Silver
437,Customer_00437,Retail,21,2021-10-07,Silver
438,Customer_00438,Wholesale,8,2019-12-04,Bronze
439,Customer_00439,Enterprise,2,2020-07-31,Gold
440,Customer_00440,Wholesale,9,2021-05-24,Silver
441,Customer_00441,SME,21,2020-04-14,Silver
442,Customer_00442,Retail,7,2020-03-02,Platinum
443,Customer_00443,Enterprise,14,2021-03-28,Gold
444,Customer_00444,Retail,21,2019-10-10,Gold
445,Customer_00445,Retail,1,2018-12-09,Bronze
446,Customer_00446,Enterprise,19,2020-11-27,Bronze
447,Customer_00447,SME,8,2018-01-13,Silver
448,Customer_00448,Wholesale,18,2019-06-28,Silver
449,Customer_00449,Retail,5,2018-10-30,Silver
450,Customer_00450,Wholesale,4,2021-09-18,Gold
451,Customer_00451,retail,20,2018-11-07,Bronze
452,Customer_00452,SME,21,2020-08-15,Bronze
453,Customer_00453,Enterprise,25,2019-02-01,Silver
454,Customer_00454,Retail,17,2018-09-13,Bronze
455,Customer_00455,Retail,12,2020-12-22,Silver
456,Customer_00456,Retail,5,2020-12-09,Gold
457,Customer_00457,SME,8,2021-10-04,Silver
458,Customer_00458,Retail,17,2019-07-09,Gold
459,Customer_00459,Enterprise,9,2018-10-28,Silver
460,Customer_00460,Wholesale,13,2020-04-26,Gold
461,Customer_00461,Wholesale,5,2021-05-05,Bronze
462,Customer_00462,Retail,11,2020-09-14,Gold
463,Customer_00463,SME,6,2020-05-07,Gold
464,Customer_00464,Retail,3,2018-03-29,Bronze
465,Customer_00465,Wholesale,4,2021-06-29,Silver
466,Customer_00466,Wholesale,13,2020-08-05,Gold
467,Customer_00467,Wholesale,10,2019-05-20,Bronze
468,Customer_00468,SME,3,2021-01-11,Gold
469,Customer_00469,Retail,13,2018-05-15,Platinum
470,Customer_00470,Wholesale,5,2018-04-09,Gold
471,Customer_00471,Retail,1,2020-06-10,Silver
472,Customer_00472,Retail,4,2018-12-10,Silver
473,Customer_00473,Retail,12,2018-11-25,Platinum
474,Customer_00474,Retail,24,2019-03-16,Silver
475,Customer_00475,Retail,7,2021-03-28,Bronze
476,Customer_00476,Retail,8,2021-10-19,Bronze
477,Customer_00477,Retail,7,2020-07-30,Gold
478,Customer_00478,Wholesale,9,2021-06-19,Silver
479,Customer_00479,Wholesale,18,2020-10-20,Bronze
480,Customer_00480,Retail,9,2019-05-20,Bronze
481,Customer_00481,Retail,17,2019-08-02,Gold
482,Customer_00482,Retail,23,2021-02-21,Silver
483,Customer_00483,Wholesale,24,2021-12-06,Gold
484,Customer_00484,Retail,15,2021-01-28,Gold
485,Customer_00485,Retail,18,2020-02-19,Platinum
486,Customer_00486,Retail,23,2018-10-21,Gold
487,Customer_00487,Retail,20,2020-07-03,Bronze
488,Customer_00488,Retail,8,2020-10-30,Silver
489,Customer_00489,Wholesale,4,2019-09-27,Bronze
490,Customer_00490,Wholesale,3,2021-09-16,Platinum
491,Customer_00491,Enterprise,23,2021-01-28,Bronze
492,Customer_00492,Wholesale,14,2021-11-08,Silver
493,Customer_00493,Wholesale,8,2019-11-05,Gold
494,Customer_00494,Retail,9,2020-03-08,Bronze
495,Customer_00495,Enterprise,8,2019-08-12,Gold
496,Customer_00496,Wholesale,21,2019-06-21,Bronze
497,Customer_00497,Retail,16,2020-05-19,Silver
498,Customer_00498,Wholesale,22,2018-06-08,Silver
499,Customer_00499,Retail,8,2018-03-26,Silver
500,Customer_00500,Wholesale,12,2021-07-19,Silver
501,Customer_00501,Enterprise,4,2018-03-23,Platinum
502,Customer_00502,SME,25,2021-03-12,Bronze
503,Customer_00503,SME,13,2020-12-25,Silver
504,Customer_00504,Wholesale,14,2019-10-30,Gold
505,Customer_00505,Wholesale,11,2021-11-18,Gold
506,Customer_00506,Enterprise,7,2020-07-04,Bronze
507,Customer_00507,Retail,24,2021-03-16,Platinum
508,Customer_00508,SME,13,2020-01-09,Bronze
509,Customer_00509,Retail,17,2018-08-28,Silver
510,Customer_00510,Retail,1,2018-03-17,Silver
511,Customer_00511,Retail,7,2021-02-17,Gold
512,Customer_00512,SME,21,2019-10-07,Bronze
513,Customer_00513,Retail,3,2020-01-21,Bronze
514,Customer_00514,Retail,3,2020-04-19,Gold
515,Customer_00515,Retail,21,2019-05-28,Bronze
516,Customer_00516,Retail,8,2017-12-09,Silver
517,Customer_00517,Retail,7,2020-05-04,Gold
518,Customer_00518,Enterprise,15,2021-09-26,Silver
